Crop,Variety, Stems ,Period
Roses,Athena,13451,27/02/2023
Roses,Comanche,10045,27/02/2023
Roses,Flambo,1135,27/02/2023
Roses,Fuchsiana,5415,27/02/2023
Roses,Furiosa,9972,27/02/2023
Roses,H3O,9447,27/02/2023
Roses,Inka,6314,27/02/2023
Roses,Madam Cerise,1260,27/02/2023
Roses,Red Calypso,4239,27/02/2023
Roses,Sonrisa,13562,27/02/2023
Roses,Sweet Unique,14893,27/02/2023
Roses,Topsun,2685,27/02/2023
Roses,Tropical Amazon,3657,27/02/2023
Roses,Wild Calypso,4049,27/02/2023
Hypericum,Green Revival,8020,28/02/2023
Hypericum,Magical Triumph,71690,28/02/2023
Hypericum,Royal Princess,4620,28/02/2023
Hypericum,Snow Prince,300,28/02/2023
Roses,Athena,22455,28/02/2023
Roses,Comanche,15570,28/02/2023
Roses,Flambo,2937,28/02/2023
Roses,Fuchsiana,9271,28/02/2023
Roses,Furiosa,13237,28/02/2023
Roses,H3O,9990,28/02/2023
Roses,Inka,5568,28/02/2023
Roses,Madam Cerise,3985,28/02/2023
Roses,Ranuncula,3900,28/02/2023
Roses,Red Calypso,10177,28/02/2023
Roses,Sonrisa,11585,28/02/2023
Roses,Sweet Unique,7223,28/02/2023
Roses,Topsun,12396,28/02/2023
Roses,Tropical Amazon,7299,28/02/2023
Roses,Wild Calypso,14108,28/02/2023
Hypericum,Excellent Flair,1000,01/03/2023
Hypericum,Green Revival,5320,01/03/2023
Hypericum,Magical Triumph,58250,01/03/2023
Hypericum,Royal Princess,5050,01/03/2023
Roses,Athena,12184,01/03/2023
Roses,Comanche,13355,01/03/2023
Roses,Flambo,2052,01/03/2023
Roses,Fuchsiana,11496,01/03/2023
Roses,Furiosa,9911,01/03/2023
Roses,H3O,6689,01/03/2023
Roses,Inka,6476,01/03/2023
Roses,Madam Cerise,4080,01/03/2023
Roses,Red Calypso,2595,01/03/2023
Roses,Sonrisa,11012,01/03/2023
